Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
13,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Halophila,Halophila,Halophila ovalis,,Halophila ovalis,(R.Br.) Hook.f.,"Distributed in Guangdong, Hainan and Taiwan; Asia, Africa and Oceania also found.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 1–4 cm,"Leaves long 1–4 cm, entire, glabrous, transverse veins 12–25 pairs, and midrib jiao angles 45–60°; fruit nearly spherical-shaped, with beak. Flowering period November–December.",Euhalophyte (salt-loving plant),Aquatic,940 mM (60000 mg/L); 500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
14,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Halophila,Halophila,Halophila decipiens,,Halophila decipiens,Ostenf.,"Distributed in Taiwan; Asia, Africa, Oceania and in South America also found.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 1–2 cm,"Leaves long 1–2.2 m, margin with slender teeth, both surfaces covered with pubescent, transverse veins 6–9 pairs, and midrib jiao angles 45–60°.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),0,C4,Ecological use,Supplemented based on flora records
15,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Enhalus,Enhalus,Enhalus acoroides,,Enhalus acoroides,(L.f.) Royle,"Distributed in Hainan; Asia, Africa and Oceania also found.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 30–150 cm,"Rhizome creeping, nodes dense; leaves band-shaped flattened, entire, veins 13–19 strips; fruit ovate round-shaped, surface with dense two forked-shaped attached genus structure, with beak. Flowering period May.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Wild vegetable,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
16,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Thalassia,Thalassia,Thalassia hemprichii,,Thalassia hemprichii,(Ehrenb. ex Solms) Asch.,Distributed in Hainan and Taiwan; Asia and Oceania also found.,Occurs in shallow sea sandy seabed.,"Perennial seagrass, geophyte",Plant height 6–40 cm,"Rhizome long and horizontally creeping; leaves band-shaped; female flowers style 6, stigma 2-lobed, long 1–1.5 cm; fruit globose, dehiscent is mostly valves.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity); 310 mM (31 dS/m),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
17,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Najas,Najas,Najas marina,,Najas marina,L.,Widely distributed throughout China; worldwide widely distributed.,"Occurs in lakes, ponds, rivers or shallow water places.",Annual submerged aquatic herb,Plant height 30–100 cm,"Plant coarse robust, with coarse spiny; leaf blade linear-lanceolate, wide about 2 mm, with coarse serrate; achene yellow-brown. Flowering and fruiting period September–November.",Salt-excluding halophyte,Aquatic,600 mM (55 dS/m),Salinity tolerance value from database,C3,Ecological use,eHALOPH; Handbook of Halophytes 536
18,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Najas,Najas,Najas minor,,Najas minor,All.,Widely distributed throughout China; worldwide widely distributed.,"Occurs in lakes, ponds, rivers or shallow water places.",Annual submerged aquatic herb,Plant height 4–25 cm,"Plant slender slender, smooth; leaf blade linear, wide 0.5–1 mm, with serrate; anthers 1 locules; achene narrow long elliptic, upper part gradually narrow and slightly curved. Flowering and fruiting period June–October.",Salt-excluding halophyte,Aquatic,"Unknown, 200 mM (estimated value); 42 mM (2700 mg/L)",Salinity tolerance value from database,C3,Ecological use,"Handbook of Halophytes 26, 536"
19,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Najas,Najas,Najas ancistrocarpa,,Najas ancistrocarpa,A.Braun ex Magnus,Distributed in East China and Taiwan; Japan also found.,"Occurs in ditches and channels margins, lakeshores or water fields.",Annual submerged aquatic herb,Plant height 10–30 cm,"Leaf blade linear, wide about 0.5 mm, auricle truncate orbicular or obcordate; anthers 4 locules; achene yellow-brown, appearing crescent-shaped. Flowering and fruiting period July–October.",Salt-excluding halophyte,Aquatic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
20,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Najas,Najas,Najas graminea,,Najas graminea,Delile,Widely distributed throughout China; worldwide widely distributed.,"Occurs in lakes, ponds, rivers or shallow water places.",Annual submerged aquatic herb,Plant height 10–20 cm,"Leaf blade wide 1 mm; anthers 4 locules; achene long elliptic, not curved. Flowering and fruiting period June–September.",Salt-excluding halophyte,Aquatic,425 mM,Salinity tolerance value from database,C3,Ecological use,eHALOPH
21,III. Angiosperms,Hydrocharitaceae,Hydrocharitaceae,Hydrilla,Hydrilla,Hydrilla verticillata,,Hydrilla verticillata,(L.f.) Royle,Widely distributed throughout China; worldwide widely distributed.,"Occurs in lakes, ponds, rivers or marshland.","Perennial submerged aquatic herb, geophyte",Plant height 30–80 cm,"Xiu mian ya long ovate orbicular; leaves 3–8 whorled, linear or long linear, with serrate, sessile; flower single -like, with spathe; fruit cylindrical. Flowering and fruiting period May–October.",Salt-excluding halophyte,Aquatic,500 mM (seawater salinity); 100 mM (10 dS/m),Salinity tolerance value from database,C4,Ecological use,eHALOPH
22,III. Angiosperms,Juncaginaceae,Juncaginaceae,Triglochin,Triglochin,Triglochin maritima,,Triglochin maritima,L.,"Distributed in North China, Northwest China and Southwest China; northern Asia widely distributed.",Occurs in saline-alkaline marshland or seashore salt flat.,"Perennial hygrophytic herb, geophyte",Plant height 10–60 cm,"Plant coarse robust; leaves linear; raceme, flower arranged relatively compact, pedicel long about 1 mm; capsule elliptic, with 6-ridged, 6 lobes dehiscent. Flowering and fruiting period June–October.",Euhalophyte (salt-loving plant),Hygrophytic,340 mM; 260 mM (26 dS/m),Salinity tolerance value from database,C3,Medicinal,"eHALOPH; Handbook of Halophytes 20, 534; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
23,III. Angiosperms,Juncaginaceae,Juncaginaceae,Triglochin,Triglochin,Triglochin palustris,,Triglochin palustris,L.,"Distributed in Northeast China, North China, Northwest China and Southwest China; northern Asia widely distributed.",Occurs in saline-alkaline marshland or shallow water wetland.,"Perennial hygrophytic herb, geophyte",Plant height 10–40 cm,"Plant weak small; leaves wide about 1 mm; flower arranged relatively sparse spreading, pedicel long about 2 mm; capsule clavate linear, 3 lobes dehiscent. Flowering and fruiting period June–October.",Euhalophyte (salt-loving plant),Aquatic or hygrophytic,250 mM; 67 mM (4300 mg/L),Salinity tolerance value from database,C3,Medicinal,"eHALOPH; Handbook of Halophytes 23, 534; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
24,III. Angiosperms,Zosteraceae,Zosteraceae,Phyllospadix,Phyllospadix,Phyllospadix iwatensis,,Phyllospadix iwatensis,Makino,"Distributed in Hebei, Liaoning and Shandong; Japan, Korea and Russia also found.",Occurs in coast reefs.,"Perennial seagrass, geophyte",Plant height 100–150 cm,"Leaves wide 2–4.5 mm, apex obtuse round, often 5 veins, sparse 3 veins, stem base with red brown colored bristle-like fibers; spadix borne spathe inner; fruit crescent-shaped. Flowering period April–June, fruiting period August–October.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
25,III. Angiosperms,Zosteraceae,Zosteraceae,Phyllospadix,Phyllospadix,Phyllospadix japonica,,Phyllospadix japonica,Makino,"Distributed in Hebei, Liaoning and Shandong; Japan, Korea and Russia also found.",Occurs in low-tide line reefs or hard-textured sandy land.,"Perennial seagrass, geophyte",Plant height 25–100 cm,"Leaves wide 1.5–2.5 mm, apex often emarginate, 3 veins; stem base bristle-like fibers appearing blackish brown. Flowering period March–May, fruiting period June–August.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),0,C4,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
26,III. Angiosperms,Zosteraceae,Zosteraceae,Zostera,Zostera,Zostera japonica,,Zostera japonica,Asch. & Graebn.,"Distributed in Hebei, Liaoning, Shandong and Taiwan; Northern Hemisphere widely distributed.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 10–45 cm,"Rhizome surface layers most inner layers with fiber bundles; leaf sheath kai fang type, margin membranous, xiang hu die ya and amplexicaul; leaf blade with initially ji veins 3 strips; spadix rachis margin overall is persistent in bract-shaped attached genus structure. Flowering and fruiting period June–September.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity); 266 mM (26.57 dS/m),Salinity tolerance value from database,C3-C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
27,III. Angiosperms,Zosteraceae,Zosteraceae,Zostera,Zostera,Zostera caespitosa,,Zostera caespitosa,Miki,Distributed in Liaoning; Japan and Korea also found.,Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 20–70 cm,"Rhizome nearly erect, internodes very short, plant structure body appearing tufted-shaped; leaf sheath often thick bi zu zhi becoming, persistent; leaves end emarginate. Flowering and fruiting period April–June.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C3-C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
28,III. Angiosperms,Zosteraceae,Zosteraceae,Zostera,Zostera,Zostera marina,,Zostera marina,L.,"Distributed in Hebei, Liaoning and Shandong; Asia, Africa, Europe and North America also found.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 50–100 cm,"Rhizome creeping, with short vegetative branches and long borne zhi branches; leaf blade linear, wide 3–6 mm, entire, veins 5–7 strips; spathe sheath green, spadix flattened; fruit oblong, seeds with keel. Flowering and fruiting period March–July.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity); 266 mM (26.57 dS/m),Salinity tolerance value from database,C3-C4,"Seeds edible, ecological use","eHALOPH; Handbook of Halophytes 25, 537; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
29,III. Angiosperms,Zosteraceae,Zosteraceae,Zostera,Zostera,Zostera asiatica,,Zostera asiatica,Miki,"Distributed in Liaoning; Japan, Korea and Russia also found.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 30–120 cm,"Leaf blade wide 10–15 mm, leaves end truncate or emarginate; borne zhi branches without sterile branched; seeds surface without colored su spots dots. Flowering and fruiting period 7–yi year March.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C3-C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
30,III. Angiosperms,Zosteraceae,Zosteraceae,Zostera,Zostera,Zostera caulescens,,Zostera caulescens,Miki,Distributed in Liaoning; Japan and Korea also found.,Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 20–70 cm,Leaf blade wide 5–8 mm; leaves end obtuse to projecting pointed; borne zhi branches only base branched fertile; seeds surface with colored su spots dots. Flowering and fruiting period April–June.,Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity); 250 mM (24.6 dS/m),Salinity tolerance value from database,C3-C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
31,III. Angiosperms,Potamogetonaceae,Potamogetonaceae,Stuckenia,Stuckenia,Stuckenia filiformis,,Stuckenia filiformis,(Pers.) Börner,"Distributed in Shaanxi, Ningxia, Qinghai and Xinjiang; north temperate regions widely distributed.",Occurs in alkaline -like water body.,"Perennial submerged aquatic herb, geophyte",Plant height 20–50 cm,"Leaves linear, long 3–7 cm, wide 0.3–0.5 mm, leaf sheath slender and appressed stem; spike terminal, flowers small; fruit without keel or keel inconspicuous. Flowering and fruiting period July–October.",Salt-excluding halophyte,Aquatic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,Supplemented based on field surveys
32,III. Angiosperms,Potamogetonaceae,Potamogetonaceae,Stuckenia,Stuckenia,Stuckenia pectinata,,Stuckenia pectinata,(L.) Börner,Widely distributed throughout China; worldwide widely distributed.,"Occurs in lakes, ponds, rivers or marshland.","Perennial submerged aquatic herb, geophyte",Plant height 50–200 cm,"Stem upper part much-branched; leaves linear, wide only 0.2–1 mm, leaf sheath margin free; pistil 4; fruit obovate, with beak. Flowering and fruiting period May–October.",Salt-excluding halophyte,Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,eHALOPH
33,III. Angiosperms,Potamogetonaceae,Potamogetonaceae,Potamogeton,Potamogeton,Potamogeton pusillus,,Potamogeton pusillus,L.,"Widely distributed throughout China; Asia, Europe, Africa and North America also found.","Occurs in lakes, ponds, rivers or marshland.","Perennial submerged aquatic herb, geophyte",Plant height 20–50 cm,"Leaves linear, sessile, wide about 1 mm, entire, stipule and leaves free, margin connate, appearing tao tubular amplexicaul; fruit oblique obovate, with short beak. Flowering and fruiting period May–October.",Salt-excluding halophyte,Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,eHALOPH; Handbook of Halophytes 535
34,III. Angiosperms,Potamogetonaceae,Potamogetonaceae,Potamogeton,Potamogeton,Potamogeton crispus,,Potamogeton crispus,L.,Distributed in chu South China outer large parts provinces and regions; Asia each ground widely distributed.,"Occurs in lakes, ponds, rivers or marshland.","Perennial submerged aquatic herb, geophyte",Plant height 40–100 cm,"Te becoming xiu mian ya conspicuous; leaves linear, sessile, wide 3–10 mm, leaf margin undulate, with finely serrate; fruit ovate, fruit beak longer, abaxial keel with teeth teeth. Flowering and fruiting period April–July.",Salt-excluding halophyte,Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,eHALOPH
35,III. Angiosperms,Potamogetonaceae,Potamogetonaceae,Potamogeton,Potamogeton,Potamogeton lucens,,Potamogeton lucens,L.,"Distributed in chu South China outer large parts provinces and regions; Asia, Europe and Africa also found.","Occurs in lakes, ponds, rivers or marshland.","Perennial submerged aquatic herb, geophyte",Plant height 40–200 cm,"Leaves long elliptic to ovate-elliptic, sessile, subsessile to with short-stalked, wide 1–3.5 cm, apex pointed acute or with awn-shaped pointed tip; fruit long 3 mm, abaxial keel slightly acute. Flowering and fruiting period June–October.",Salt-excluding halophyte,Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,eHALOPH
36,III. Angiosperms,Potamogetonaceae,Potamogetonaceae,Zannichellia,Zannichellia,Zannichellia palustris,,Zannichellia palustris,L.,"Distributed in Northeast China, North China, Northwest China and East China; worldwide widely distributed.","Occurs in riversides, stream banks or marsh shallow water places.","Perennial submerged aquatic herb, geophyte",Plant height 10–40 cm,"Leaves slender linear, 3–4 whorled, wide 0.3–0.5 mm, entire; achene 2–4 clustered, with conspicuous small fruit stalk, crescent-shaped, abaxial keel with teeth, beak slender and long. Flowering and fruiting period June–October.",Euhalophyte (salt-loving plant),Aquatic,257 mM; 88 mM (8.8 dS/m),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Handbook of Halophytes 536; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
37,III. Angiosperms,Potamogetonaceae,Potamogetonaceae,Zannichellia,Zannichellia,Zannichellia palustris subsp. pedicellata,,Zannichellia palustris subsp. pedicellata,(Rosén & Wahlenb.) Arcang.,"Distributed in Northeast China, North China, Northwest China and East China; worldwide widely distributed.","Occurs in riversides, stream banks or marsh shallow water places.","Perennial submerged aquatic herb, geophyte",Plant height 20–50 cm,"Capsule 4–6 attached borne on overall fruit stalk on, small fruit stalk very short or without.",Euhalophyte (salt-loving plant),Aquatic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,"Chinese Halophytes, 2nd edition"
38,III. Angiosperms,Posidoniaceae,Posidoniaceae,Posidonia,Posidonia,Posidonia australis,,Posidonia australis,Hook.f.,"Distributed in Oceania, China not distributed in, ci in front of recorded is filiform powdery alga cuo wu jian ding zhi.",Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 70–90 cm,"Rhizome long and creeping; leaf blade textured ren, linear, slightly curved, wide 6–15 mm, entire; rou spike terminal or axillary, stamens 3; fruit fusiform, smooth, with beak.",Euhalophyte (salt-loving plant),Aquatic,700 mM (62 dS/m); 500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
39,III. Angiosperms,Ruppiaceae,Ruppiaceae,Ruppia,Ruppia,Ruppia maritima,,Ruppia maritima,L.,Distributed in Northwest China and coastal areas of eastern China; worldwide widely distributed.,Occurs in seashore salt fields or inland saline-alkaline lake.,"Perennial submerged aquatic herb, geophyte",Plant height 40–80 cm,"Leaves narrowly linear, wide 0.3–0.5 mm, leaf sheath amplexicaul; spike enclosing on sheath inner, with 2 flowers flower, stamens 2, carpels 4–6; achene with short beak. Flowering and fruiting period April–June.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Handbook of Halophytes 535; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
40,III. Angiosperms,Cymodoceaceae,Cymodoceaceae,Halodule,Halodule,Halodule pinifolia,,Halodule pinifolia,(Miki) Hartog,Distributed in Hainan and Taiwan; Asia tropical regions and Oceania also found.,Occurs in shallow seabed.,"Perennial seagrass, geophyte",Plant height 3–10 cm,"Leaves 1–4 alternate, leaf blade linear, wide 0.5–0.8 mm, apex often flat truncate or slightly round, without in teeth, only with 2 lateral teeth; flowers small, solitary or 2 flowers and borne, without perianth; fruit ovate, long about 2 mm, beak lateral.",Euhalophyte (salt-loving plant),Aquatic,600 mM (50 dS/m); 500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
41,III. Angiosperms,Cymodoceaceae,Cymodoceaceae,Halodule,Halodule,Halodule uninervis,,Halodule uninervis,(Forssk.) Boiss.,"Distributed in Hainan and Taiwan; Asia, Africa and Oceania also found.",Occurs in estuaries curved or mangrove forest.,"Perennial seagrass, geophyte",Plant height 5–20 cm,"Leaves wide 0.8–1.4 mm, base attenuate, apex often 3 teeth, in teeth mostly few rounded-obtuse, 2 lateral teeth conspicuous; fruit ovoid, long 2.5 mm, beak terminal.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity); 350 mM (33 dS/m),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
42,III. Angiosperms,Cymodoceaceae,Cymodoceaceae,Cymodocea,Cymodocea,Cymodocea rotundata,,Cymodocea rotundata,Asch. & Schweinf.,"Distributed in Hainan; Asia, Africa and Oceania also found.",Occurs in hot band shallow sea mud textured seabed.,"Perennial seagrass, geophyte",Plant height 10–25 cm,"Stolon slender slender; leaves 2–5 clustered, leaf blade linear, falcate-shaped, long 7–15 cm, wide 4 mm below, entire, leaf sheath slightly purple; flower single flowers terminal; fruit oblique and flattened, sessile, abaxial keel with pointed projecting teeth.",Euhalophyte (salt-loving plant),Aquatic,500 mM (seawater salinity),Salinity tolerance value from database,C4,Ecological use,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
